,filenames,split,group
0,COCO_train2014_000000000077,train,0
1,COCO_train2014_000000000260,train,0
2,COCO_train2014_000000000368,train,0
3,COCO_train2014_000000000431,train,0
4,COCO_train2014_000000000446,train,0
5,COCO_train2014_000000000821,test,0
6,COCO_train2014_000000000897,test,0
7,COCO_train2014_000000001319,train,0
8,COCO_train2014_000000001332,train,0
9,COCO_train2014_000000001453,train,0
10,COCO_train2014_000000001527,train,0
11,COCO_train2014_000000001670,train,0
12,COCO_train2014_000000001941,valid,0
13,COCO_train2014_000000002001,train,0
14,COCO_train2014_000000002686,train,0
15,COCO_train2014_000000002963,train,0
16,COCO_train2014_000000003124,train,0
17,COCO_train2014_000000003366,train,0
18,COCO_train2014_000000003637,valid,0
19,COCO_train2014_000000003911,valid,0
20,COCO_train2014_000000004129,train,0
21,COCO_train2014_000000004139,train,0
22,COCO_train2014_000000004490,train,0
23,COCO_train2014_000000004574,train,0
24,COCO_train2014_000000004739,test,0
25,COCO_train2014_000000004843,train,0
26,COCO_train2014_000000005018,valid,0
27,COCO_train2014_000000005614,valid,0
28,COCO_train2014_000000005619,valid,0
29,COCO_train2014_000000005823,train,0
30,COCO_train2014_000000006107,train,0
31,COCO_train2014_000000006421,valid,0
32,COCO_train2014_000000006603,train,0
33,COCO_train2014_000000006664,train,0
34,COCO_train2014_000000006747,train,0
35,COCO_train2014_000000006780,train,0
36,COCO_train2014_000000006846,train,0
37,COCO_train2014_000000007500,train,0
38,COCO_train2014_000000007615,train,0
39,COCO_train2014_000000007623,test,0
40,COCO_train2014_000000007853,train,0
41,COCO_train2014_000000007953,train,0
42,COCO_train2014_000000008114,train,0
43,COCO_train2014_000000008414,train,0
44,COCO_train2014_000000008422,train,0
45,COCO_train2014_000000008436,valid,0
46,COCO_train2014_000000008458,valid,0
47,COCO_train2014_000000008746,test,0
48,COCO_train2014_000000008772,train,0
49,COCO_train2014_000000008896,valid,0
50,COCO_train2014_000000008965,train,0
51,COCO_train2014_000000009202,train,0
52,COCO_train2014_000000009462,train,0
53,COCO_train2014_000000009895,train,0
54,COCO_train2014_000000010281,train,0
55,COCO_train2014_000000010319,train,0
56,COCO_train2014_000000010434,train,0
57,COCO_train2014_000000010545,test,0
58,COCO_train2014_000000010600,valid,0
59,COCO_train2014_000000010621,test,0
