,filenames,split,group
0,COCO_train2014_000000000077,valid,0
1,COCO_train2014_000000000127,train,0
2,COCO_train2014_000000000349,train,0
3,COCO_train2014_000000000368,train,0
4,COCO_train2014_000000000821,train,0
5,COCO_train2014_000000000934,train,0
6,COCO_train2014_000000001453,train,0
7,COCO_train2014_000000001501,train,0
8,COCO_train2014_000000001670,test,0
9,COCO_train2014_000000001737,train,0
10,COCO_train2014_000000001941,train,0
11,COCO_train2014_000000002279,test,0
12,COCO_train2014_000000002309,train,0
13,COCO_train2014_000000002342,train,0
14,COCO_train2014_000000002896,test,0
15,COCO_train2014_000000003272,train,0
16,COCO_train2014_000000003361,train,0
17,COCO_train2014_000000003366,train,0
18,COCO_train2014_000000003860,train,0
19,COCO_train2014_000000004490,valid,0
20,COCO_train2014_000000005554,train,0
21,COCO_train2014_000000005614,valid,0
22,COCO_train2014_000000005669,train,0
23,COCO_train2014_000000005755,train,0
24,COCO_train2014_000000006107,train,0
25,COCO_train2014_000000006488,test,0
26,COCO_train2014_000000006603,train,0
27,COCO_train2014_000000006780,test,0
28,COCO_train2014_000000007601,train,0
29,COCO_train2014_000000007623,valid,0
30,COCO_train2014_000000007894,train,0
31,COCO_train2014_000000007953,test,0
32,COCO_train2014_000000008290,train,0
33,COCO_train2014_000000008294,train,0
34,COCO_train2014_000000008414,test,0
35,COCO_train2014_000000008422,train,0
36,COCO_train2014_000000008564,valid,0
37,COCO_train2014_000000008821,valid,0
38,COCO_train2014_000000008896,train,0
39,COCO_train2014_000000008920,train,0
40,COCO_train2014_000000008965,train,0
41,COCO_train2014_000000009075,train,0
42,COCO_train2014_000000009509,train,0
43,COCO_train2014_000000009809,train,0
44,COCO_train2014_000000009895,train,0
45,COCO_train2014_000000010319,train,0
46,COCO_train2014_000000010430,train,0
47,COCO_train2014_000000010600,train,0
48,COCO_train2014_000000010621,train,0
49,COCO_train2014_000000010732,train,0
50,COCO_train2014_000000010769,train,0
51,COCO_train2014_000000011349,train,0
52,COCO_train2014_000000011422,train,0
53,COCO_train2014_000000011474,train,0
54,COCO_train2014_000000011667,train,0
55,COCO_train2014_000000011702,train,0
56,COCO_train2014_000000011791,train,0
57,COCO_train2014_000000011931,train,0
58,COCO_train2014_000000012109,train,0
59,COCO_train2014_000000013020,train,0
60,COCO_train2014_000000013124,train,0
61,COCO_train2014_000000013279,train,0
62,COCO_train2014_000000013471,train,0
63,COCO_train2014_000000013717,train,0
64,COCO_train2014_000000013874,valid,0
65,COCO_train2014_000000014036,train,0
66,COCO_train2014_000000014533,train,0
67,COCO_train2014_000000014686,valid,0
68,COCO_train2014_000000014873,train,0
69,COCO_train2014_000000015097,train,0
70,COCO_train2014_000000015193,train,0
71,COCO_train2014_000000015318,train,0
72,COCO_train2014_000000015392,train,0
73,COCO_train2014_000000016056,train,0
74,COCO_train2014_000000016112,train,0
75,COCO_train2014_000000017174,test,0
76,COCO_train2014_000000017183,train,0
77,COCO_train2014_000000017308,train,0
78,COCO_train2014_000000017392,train,0
79,COCO_train2014_000000017489,train,0
80,COCO_train2014_000000017629,train,0
81,COCO_train2014_000000017717,train,0
82,COCO_train2014_000000018265,train,0
83,COCO_train2014_000000018464,test,0
84,COCO_train2014_000000018555,train,0
85,COCO_train2014_000000019002,test,0
86,COCO_train2014_000000019184,valid,0
87,COCO_train2014_000000019198,test,0
88,COCO_train2014_000000019471,train,0
89,COCO_train2014_000000019489,train,0
90,COCO_train2014_000000019528,train,0
91,COCO_train2014_000000019647,train,0
92,COCO_train2014_000000019754,test,0
93,COCO_train2014_000000020556,test,0
94,COCO_train2014_000000020747,train,0
95,COCO_train2014_000000021248,train,0
96,COCO_train2014_000000022032,train,0
97,COCO_train2014_000000022044,train,0
98,COCO_train2014_000000022559,train,0
99,COCO_train2014_000000022624,train,0
100,COCO_train2014_000000023357,train,0
101,COCO_train2014_000000023405,train,0
102,COCO_train2014_000000023927,valid,0
103,COCO_train2014_000000023976,valid,0
104,COCO_train2014_000000024169,train,0
105,COCO_train2014_000000024416,train,0
106,COCO_train2014_000000024769,train,0
107,COCO_train2014_000000024828,train,0
108,COCO_train2014_000000024947,train,0
109,COCO_train2014_000000025147,train,0
110,COCO_train2014_000000025528,train,0
111,COCO_train2014_000000025710,valid,0
112,COCO_train2014_000000025727,test,0
113,COCO_train2014_000000025870,train,0
114,COCO_train2014_000000025917,train,0
115,COCO_train2014_000000026007,train,0
116,COCO_train2014_000000026438,test,0
117,COCO_train2014_000000026685,train,0
118,COCO_train2014_000000026944,valid,0
119,COCO_train2014_000000027293,train,0
120,COCO_train2014_000000027556,train,0
121,COCO_train2014_000000027852,train,0
122,COCO_train2014_000000027937,train,0
123,COCO_train2014_000000027942,train,0
124,COCO_train2014_000000028116,train,0
125,COCO_train2014_000000028642,train,0
126,COCO_train2014_000000029799,train,0
127,COCO_train2014_000000029816,train,0
128,COCO_train2014_000000030196,train,0
129,COCO_train2014_000000030418,train,0
130,COCO_train2014_000000030429,train,0
131,COCO_train2014_000000030630,valid,0
132,COCO_train2014_000000030693,train,0
133,COCO_train2014_000000030879,train,0
134,COCO_train2014_000000031080,train,0
135,COCO_train2014_000000031250,train,0
136,COCO_train2014_000000031588,train,0
137,COCO_train2014_000000031590,train,0
138,COCO_train2014_000000031642,train,0
139,COCO_train2014_000000031943,train,0
140,COCO_train2014_000000032236,valid,0
141,COCO_train2014_000000032328,valid,0
142,COCO_train2014_000000032474,test,0
143,COCO_train2014_000000032809,train,0
144,COCO_train2014_000000032986,train,0
145,COCO_train2014_000000033146,train,0
146,COCO_train2014_000000033383,test,0
147,COCO_train2014_000000033718,train,0
148,COCO_train2014_000000033721,train,0
